date,time,ms
15-6-2020,11:32:47,2.425
15-6-2020,11:32:48,2.887
15-6-2020,11:32:49,3.171
15-6-2020,11:32:50,3.475
15-6-2020,11:32:51,3.167
15-6-2020,11:32:52,2.894
15-6-2020,11:32:53,3.254
15-6-2020,11:32:54,3.096
15-6-2020,11:32:55,2.682
15-6-2020,11:32:56,4.454
15-6-2020,11:32:57,6.116
15-6-2020,11:32:58,4.399
15-6-2020,11:32:59,2.289
15-6-2020,11:33:00,2.43
15-6-2020,11:33:01,2.724
15-6-2020,11:33:02,3.03
15-6-2020,11:33:03,2.882
15-6-2020,11:33:04,3.014
15-6-2020,11:33:05,2.092
15-6-2020,11:33:06,3.718
15-6-2020,11:33:08,2.908
15-6-2020,11:33:09,2.244
15-6-2020,11:33:10,2.58
15-6-2020,11:33:11,7.305
15-6-2020,11:33:12,2.683
15-6-2020,11:33:13,2.169
15-6-2020,11:33:14,2.723
15-6-2020,11:33:15,2.366
15-6-2020,11:33:16,3.343
15-6-2020,11:33:17,3.008
15-6-2020,11:33:18,2.235
15-6-2020,11:33:19,3.254
15-6-2020,11:33:20,9.07
15-6-2020,11:33:21,2.283
15-6-2020,11:33:22,1.96
15-6-2020,11:33:23,2.255
15-6-2020,11:33:24,2.304
15-6-2020,11:33:25,2.939
15-6-2020,11:33:26,2.916
15-6-2020,11:33:27,3.006
15-6-2020,11:33:28,2.442
15-6-2020,11:33:29,4.064
15-6-2020,11:33:30,2.401
15-6-2020,11:33:31,3.414
15-6-2020,11:33:32,2.918
15-6-2020,11:33:33,3.117
15-6-2020,11:33:34,1.935
15-6-2020,11:33:35,2.618
15-6-2020,11:33:36,5.31
15-6-2020,11:33:37,2.237
15-6-2020,11:33:38,7.541
15-6-2020,11:33:39,3.213
15-6-2020,11:33:40,3.759
15-6-2020,11:33:41,5.62
15-6-2020,11:33:42,3.148
15-6-2020,11:33:43,2.288
15-6-2020,11:33:44,2.831
15-6-2020,11:33:45,6.914
15-6-2020,11:33:46,3.096
15-6-2020,11:33:47,2.68
15-6-2020,11:33:48,2.768
15-6-2020,11:33:49,2.206
15-6-2020,11:33:50,3.955
15-6-2020,11:33:51,3.343
15-6-2020,11:33:52,2.737
15-6-2020,11:33:53,2.188
15-6-2020,11:33:54,2.398
15-6-2020,11:33:55,4.219
15-6-2020,11:33:56,2.579
15-6-2020,11:33:57,2.755
15-6-2020,11:33:58,2.625
15-6-2020,11:33:59,3.33
15-6-2020,11:34:00,2.618
15-6-2020,11:34:01,3.379
15-6-2020,11:34:02,2.77
15-6-2020,11:34:03,2.723
15-6-2020,11:34:04,2.586
15-6-2020,11:34:05,2.9
15-6-2020,11:34:06,3.452
15-6-2020,11:34:07,2.617
15-6-2020,11:34:08,2.88
15-6-2020,11:34:09,4.285
15-6-2020,11:34:10,2.978
15-6-2020,11:34:11,2.666
15-6-2020,11:34:12,7.298
15-6-2020,11:34:13,2.641
15-6-2020,11:34:14,2.88
15-6-2020,11:34:15,2.486
15-6-2020,11:34:16,2.982
15-6-2020,11:34:17,2.77
15-6-2020,11:34:18,2.784
15-6-2020,11:34:19,3.063
15-6-2020,11:34:20,5.073
15-6-2020,11:34:21,2.997
15-6-2020,11:34:22,2.434
15-6-2020,11:34:23,2.23
15-6-2020,11:34:24,2.229
15-6-2020,11:34:25,2.42
15-6-2020,11:34:26,2.622
15-6-2020,11:34:27,2.58
15-6-2020,11:34:28,2.672
15-6-2020,11:34:29,2.756
15-6-2020,11:34:30,2.668
15-6-2020,11:34:31,2.553
15-6-2020,11:34:32,2.699
15-6-2020,11:34:33,4.996
15-6-2020,11:34:34,2.782
15-6-2020,11:34:35,2.778
15-6-2020,11:34:36,2.755
15-6-2020,11:34:37,2.899
15-6-2020,11:34:38,2.384
15-6-2020,11:34:39,4.204
15-6-2020,11:34:40,2.722
15-6-2020,11:34:41,2.553
15-6-2020,11:34:42,2.765
15-6-2020,11:34:43,2.559
15-6-2020,11:34:44,2.384
15-6-2020,11:34:45,2.518
15-6-2020,11:34:46,3.179
15-6-2020,11:34:47,2.66
15-6-2020,11:34:48,3.69
15-6-2020,11:34:49,2.73
15-6-2020,11:34:50,3.399
15-6-2020,11:34:51,2.803
15-6-2020,11:34:52,2.432
15-6-2020,11:34:53,3.214
15-6-2020,11:34:54,2.534
15-6-2020,11:34:55,2.854
15-6-2020,11:34:56,2.821
15-6-2020,11:34:57,2.49
15-6-2020,11:34:58,2.638
15-6-2020,11:34:59,5.84
15-6-2020,11:35:00,2.865
15-6-2020,11:35:01,5.316
15-6-2020,11:35:02,2.884
15-6-2020,11:35:03,2.118
15-6-2020,11:35:04,3.073
15-6-2020,11:35:05,4.817
15-6-2020,11:35:06,2.844
15-6-2020,11:35:07,2.766
15-6-2020,11:35:08,3.101
15-6-2020,11:35:09,2.339
15-6-2020,11:35:10,2.974
15-6-2020,11:35:11,3.02
15-6-2020,11:35:12,2.524
15-6-2020,11:35:13,2.948
15-6-2020,11:35:14,6.074
15-6-2020,11:35:15,3.394
15-6-2020,11:35:16,4.228
15-6-2020,11:35:17,2.618
15-6-2020,11:35:18,4.302
15-6-2020,11:35:19,3.946
15-6-2020,11:35:20,2.928
15-6-2020,11:35:21,2.719
15-6-2020,11:35:22,2.6
15-6-2020,11:35:23,2.784
15-6-2020,11:35:24,2.5
15-6-2020,11:35:25,3.484
15-6-2020,11:35:26,2.578
15-6-2020,11:35:27,3.121
15-6-2020,11:35:28,2.868
15-6-2020,11:35:29,3.387
15-6-2020,11:35:30,4.115
15-6-2020,11:35:31,3.924
15-6-2020,11:35:32,3.798
15-6-2020,11:35:33,2.415
15-6-2020,11:35:34,5.3
15-6-2020,11:35:35,2.341
15-6-2020,11:35:36,2.774
15-6-2020,11:35:37,2.998
15-6-2020,11:35:38,2.789
15-6-2020,11:35:39,2.632
15-6-2020,11:35:40,2.398
15-6-2020,11:35:41,2.377
15-6-2020,11:35:42,2.254
15-6-2020,11:35:43,7.032
15-6-2020,11:35:44,3.047
15-6-2020,11:35:45,2.642
15-6-2020,11:35:46,3.562
15-6-2020,11:35:47,2.472
15-6-2020,11:35:48,2.691
15-6-2020,11:35:49,3.779
15-6-2020,11:35:50,2.652
15-6-2020,11:35:51,2.114
15-6-2020,11:35:52,2.52
15-6-2020,11:35:53,2.805
15-6-2020,11:35:54,3.293
15-6-2020,11:35:56,3.169
15-6-2020,11:35:57,2.693
15-6-2020,11:35:58,3.449
15-6-2020,11:35:59,4.631
15-6-2020,11:36:00,3.339
15-6-2020,11:36:01,2.628
15-6-2020,11:36:02,2.614
15-6-2020,11:36:03,2.766
15-6-2020,11:36:04,2.895
15-6-2020,11:36:05,2.367
15-6-2020,11:36:06,3.602
15-6-2020,11:36:07,2.787
15-6-2020,11:36:08,4.134
15-6-2020,11:36:09,2.49
15-6-2020,11:36:10,2.755
15-6-2020,11:36:11,2.769
15-6-2020,11:36:12,2.475
15-6-2020,11:36:13,2.434
15-6-2020,11:36:14,2.777
15-6-2020,11:36:15,2.611
15-6-2020,11:36:16,3.237
15-6-2020,11:36:17,3.192
15-6-2020,11:36:18,3.558
15-6-2020,11:36:19,4.02
15-6-2020,11:36:20,2.337
15-6-2020,11:36:21,2.862
15-6-2020,11:36:22,3.05
15-6-2020,11:36:23,2.576
15-6-2020,11:36:24,4.037
15-6-2020,11:36:25,2.288
15-6-2020,11:36:26,3.187
15-6-2020,11:36:27,2.104
15-6-2020,11:36:28,4.865
15-6-2020,11:36:29,2.355
15-6-2020,11:36:30,3.278
15-6-2020,11:36:31,2.727
15-6-2020,11:36:32,2.316
15-6-2020,11:36:33,2.406
15-6-2020,11:36:34,2.993
15-6-2020,11:36:35,3.115
15-6-2020,11:36:36,2.985
15-6-2020,11:36:37,3.11
15-6-2020,11:36:38,2.955
15-6-2020,11:36:39,2.672
15-6-2020,11:36:40,2.71
15-6-2020,11:36:41,3.883
15-6-2020,11:36:42,3.462
15-6-2020,11:36:43,2.791
15-6-2020,11:36:44,3.053
15-6-2020,11:36:45,2.319
15-6-2020,11:36:46,2.752
15-6-2020,11:36:47,2.544
15-6-2020,11:36:48,3.846
15-6-2020,11:36:49,3.251
15-6-2020,11:36:50,2.957
15-6-2020,11:36:51,3.281
15-6-2020,11:36:52,6.117
15-6-2020,11:36:53,4.212
15-6-2020,11:36:54,2.608
